EV_type,battery_chemistry,usable_battery_size_kWh,range_miles,efficiency_Wh/Mile,AC_charge_rate_kW,DCFC_capable,max_c_rate,pack_voltage_at_peak_power_V
bev250_400kW,LTO,87.5,250,350,17.66,TRUE,3.85,900
bev300_575kW,LTO,142.5,300,475,10.58,TRUE,3.41,900
bev300_400kW,LTO,97.5,300,325,10.58,TRUE,3.46,900
bev250_350kW,NMC,118.75,250,475,10.58,TRUE,2.29,900
bev300_300kW,NMC,97.5,300,325,10.58,TRUE,2.38,900
bev150_150kW,NMC,45,150,300,8.832,TRUE,2.56,900
bev250_ld2_300kW,NMC,87.5,250,350,10.58,TRUE,2.64,900
bev200_ld4_150kW,NMC,95,200,475,8.832,TRUE,1.22,900
bev275_ld1_150kW,NMC,82.5,275,300,8.832,TRUE,1.41,900
bev250_ld1_75kW,NMC,75,250,300,6.072,TRUE,0.76,460
bev150_ld1_50kW,NMC,45,150,300,6.072,TRUE,0.85,460
phev_SUV,NMC,23.75,50,475,8.832,FALSE,-1,-1
phev50,NMC,15.5,50,310,3.016365,FALSE,-1,-1
phev20,NMC,5,20,250,3.016365,FALSE,-1,-1
ld_50kWh,NMC,50,200,250,15.8976,TRUE,2.9,1000
